Nom de la salle,Budget,Capacité,Email,Lien Google Maps,Lien site,Phone,Prestataire,Status,Type,Tâches,Ville / Région
L'Orangerie Villers-le-Bouillet,,,,"https://www.google.com/maps/place/L'Orangerie+Villers-le-Bouillet/@50.6129673,5.2474816,17z/data=!4m15!1m8!3m7!1s0x47c106e7fb549f49:0xc0d06a72d82814ea!2sRue+Docteur+E.+Neuville+17,+4530+Villers-le-Bouillet,+Belgique!3b1!8m2!3d50.6129673!4d5.2474816!16s%2Fg%2F11cpp829jj!3m5!1s0x47c107cf3b0bb5c1:0x48ff6ef28bb5f333!8m2!3d50.6129076!4d5.2475699!16s%2Fg%2F11p0gtr7m6?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",https://lorangerievillerslebouillet.be/menu/,+32496535310,,A contacter,Restaurant,,"Rue Docteur Emile Neuville 17, 4530 Villers-le-Bouillet, Belgium"
Le Château de Bac Saint-Maur,,,,"https://www.google.com/maps/search/?api=1&query=Le%20Ch%C3%A2teau%20de%20Bac%20Saint-Maur,Le%20Ch%C3%A2teau%20de%20Bac%20Saint-Maur%2C%20473%20Rue%20de%20la%20Lys%2C%2062840%20Sailly-sur-la-Lys%2C%20France",,,,A contacter,Château,,Le Château de Bac Saint-Maur
Waerboom,,,,"https://www.google.com/maps/place/Waerboom/@50.8804951,4.2470662,17z/data=!4m18!1m8!3m7!1s0x47c3c0ee580d8f21:0x430a30c24e0c581e!2sJozef+Mertensstraat+140,+1702+Dilbeek,+Belgique!3b1!8m2!3d50.8804951!4d4.2470662!16s%2Fg%2F11hbpdssp8!3m8!1s0x47c3c0ee69dea46b:0xc730a56aa93bb898!5m2!4m1!1i2!8m2!3d50.8803847!4d4.2470477!16s%2Fg%2F1vfp7c6g?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",http://www.waerboom.com/,+3224631500,,A contacter,Hotel,,"Jozef Mertensstraat 140, 1702 Dilbeek, Belgium"
Hôtel Skindles,,,,"https://www.google.com/maps/place/H%C3%B4tel+Skindles/@50.8556049,2.7226827,17z/data=!4m18!1m8!3m7!1s0x47dcc382a9e72c6f:0x698b37a2afcc351e!2sGasthuisstraat+57,+8970+Poperinge,+Belgique!3b1!8m2!3d50.8556049!4d2.7226827!16s%2Fg%2F11fvglndsh!3m8!1s0x47dcc378079e3fd1:0x491fb3e73c55c31a!5m2!4m1!1i2!8m2!3d50.8555435!4d2.7227008!16s%2Fg%2F11c3yw70m8?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",http://www.skindlespoperinge.com/,+32479914045,,A contacter,Hotel,,"Gasthuisstraat 57, 8970 Poperinge, Belgium"
Elinoa - Machelen,,,,"https://www.google.com/maps/place/Elinoa+-+Machelen/@50.8988641,4.4307653,17z/data=!4m18!1m8!3m7!1s0x47c3dd3a9334d9b9:0x1bc7e67178c1a820!2sBroekstraat+77,+1831+Machelen,+Belgique!3b1!8m2!3d50.8988641!4d4.4307653!16s%2Fg%2F11crs2ysgq!3m8!1s0x47c3dd041987230d:0x5db961de571ab35a!5m2!4m1!1i2!8m2!3d50.8989598!4d4.4318004!16s%2Fg%2F11vs35svkj?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",https://hotel.center.be.ivof.com/elinoa/,+32488513636,,A contacter,Hotel,,"Broekstraat 77, 1831 Machelen, Belgium"
Le Domaine de la Cendrée,,,,"https://www.google.com/maps/place/Le+Domaine+de+la+Cendrée/@50.464979,2.9005485,17z/data=!3m1!4b1!4m6!3m5!1s0x47dd326d73d61b6b:0x2214566a4ce39d55!8m2!3d50.464979!4d2.9031234!16s%2Fg%2F1vysvtld?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",http://ledomaine.fr/,+33321703636,,A contacter,Domaine,,"Domaine de la cendrée, Harnes"
"salle ""Le Pont Romain""",,,,"https://www.google.com/maps/place/salle+%22Le+Pont+Romain%22/@50.285868,4.1797924,17z/data=!4m15!1m8!3m7!1s0x47c23e31a703774b:0xf64ecba756f3f963!2sRte+de+Mons+54,+6560+Erquelinnes,+Belgique!3b1!8m2!3d50.285868!4d4.1823673!16s%2Fg%2F11c4qlqw8z!3m5!1s0x47c23ffeda1fa541:0xa978d069883d0714!8m2!3d50.28589!4d4.1823569!16s%2Fg%2F11ld45t92n?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",https://lepontromain.be/,+32477857466,,A contacter,Salle,,"Rte de Mons 54, 6560 Erquelinnes, Belgique"
La salle des Marronniers,,,,"https://www.google.com/maps/place/La+salle+des+Marronniers/@50.7847983,2.5741596,17z/data=!4m15!1m8!3m7!1s0x47dce6521f705adf:0x896a1c590f36e7a!2s274+All.+des+Marronniers,+59114+Eecke,+France!3b1!8m2!3d50.7847983!4d2.5767345!16s%2Fg%2F11c0zzqvwz!3m5!1s0x47dce772bdd51019:0x26ff84a9bb7f7b07!8m2!3d50.7847983!4d2.5767345!16s%2Fg%2F11krdjm5mx?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",,+33632498095,,A contacter,Salle,,"274 All. des Marronniers, 59114 Eecke, France"
Domaine de Franc-Waret,,,,"https://www.google.com/maps/place/Domaine+de+Franc-Waret/@50.5205452,4.9732875,18z/data=!4m15!1m8!3m7!1s0x47c1a1c64173c52d:0x4edbe6f3d8dac65d!2sRue+du+Village+50,+5380+Fernelmont,+Belgique!3b1!8m2!3d50.5204565!4d4.9747976!16s%2Fg%2F11c3q2t6n0!3m5!1s0x47c1a1c64173c52d:0x9c92973099a48a8b!8m2!3d50.5196565!4d4.9741281!16s%2Fm%2F02r1x55?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",http://www.franc-waret.com/,+32477892035,,A contacter,Domaine,,"Rue du Village 50, 5380 Fernelmont, Belgique"
Palais d'Afrique,,,,"https://www.google.com/maps/place/Palais+d'Afrique/@50.8277613,4.5112902,17z/data=!4m6!3m5!1s0x47c3d95b00c7a105:0x5153d89cce875dc!8m2!3d50.8284522!4d4.5152986!16s%2Fg%2F120z1gbv?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",http://www.afrikapaleis.be/,+3234601199,,A contacter,Salle,,"Paleizenlaan, 3080 Tervuren, Belgique"
